valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
5500000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,800m²,5 ou mais,4,5 ou mais
700000,69040340,Manaus,Dom Pedro I,Rua Rita G. Barros,Apartamentos,100m²,3,2,2
180000,69058574,Manaus,Novo Aleixo,Rua Pedro Aleixo,Casas,150m²,4,1,3
null,null,null,null,null,null,null,null,null,null
370000,69054650,Manaus,Parque 10 de Novembro,Rua dos Japoneses,Casas,80m²,3,3,2
75000,69099316,Manaus,Cidade de Deus,Rua Goitacás,Casas,null,2,null,null
850000,69058580,Manaus,Flores,Rua Marquês de Tamandaré,Apartamentos,150m²,3,3,3
3280000,69030480,Manaus,Compensa,Avenida Coronel Teixeira,Casas,1500m²,5 ou mais,5 ou mais,5 ou mais
750000,69093900,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,166m²,3,4,5 ou mais
null,69009045,Manaus,Puraquequara,Rua Nova Esperança,Casas,null,2,1,2
230000,69078000,Manaus,Japiim,Avenida Tefé,Apartamentos,72m²,3,1,1
500002,69044022,Manaus,Planalto,Rua Croto,Casas,220m²,3,3,2
27000,69093069,Manaus,Colônia Terra Nova,Travessa Ticuna,Casas,null,2,0,2
850000,69055021,Manaus,Parque 10 de Novembro,Avenida Maneca Marques,Apartamentos,155m²,3,3,5 ou mais
600000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,220m²,3,4,3
5500000,69060081,Manaus,Aleixo,Avenida José de Arimatéia,Casas,700m²,4,4,5 ou mais
850000,69037005,Manaus,Ponta Negra,Avenida do Turismo,Casas,142m²,3,4,4
160369,69058000,Manaus,Flores,Conjunto Anavilhanas,Casas,80m²,2,2,2
1300000,null,null,null,null,Apartamentos,115m²,3,2,2
165000,69023097,Manaus,Tarumã-Açu,null,Apartamentos,52m²,3,null,1
700000,69040340,Manaus,Dom Pedro I,Rua Rita G. Barros,Apartamentos,110m²,3,2,1
170000,69055011,Manaus,Parque 10 de Novembro,Avenida Gabriel Corrêa Pedrosa,Apartamentos,41m²,2,1,1
75000,69092410,Manaus,Nova Cidade,Rua Monte Albert,Casas,100m²,3,2,2
3200000,69050055,Manaus,Chapada,Avenida Doutor Theomário Pinto da Costa,Casas,370m²,1,4,5 ou mais
950000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,229m²,3,4,4
1450000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,210m²,4,3,5 ou mais
1150000,69037155,Manaus,Ponta Negra,Rua Mediterrâneo,Casas,360m²,3,4,4
450000,69040080,Manaus,Dom Pedro I,Rua Brigadeiro João Camarão,Apartamentos,87m²,3,2,3
1250000,69054677,Manaus,Parque 10 de Novembro,Rua Paul Adam,Casas,318m²,4,5 ou mais,5 ou mais
520000,69054700,Manaus,Parque 10 de Novembro,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,140m²,3,3,3
399000,69000000,Manaus,Centro,null,Casas,72m²,2,1,2
231990,69037207,Manaus,Ponta Negra,Rua Narciso Cavalcante de Melo,Apartamentos,47m²,2,1,1
310000,69049210,Manaus,Redenção,Rua Bromélia,Casas,250m²,2,4,1
480000,69028040,Manaus,Flores,Avenida Barão de Tefé,Casas,284m²,4,5 ou mais,1
950000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,165m²,4,3,3
300000,69029120,Manaus,Santo Antônio,Avenida Padre Agostinho Caballero Martin,Apartamentos,80m²,2,1,2
2300000,69041010,Manaus,Tarumã,Avenida do Turismo,Casas,800m²,4,5 ou mais,5 ou mais
50000,69099361,Manaus,Novo Aleixo,Rua Irajuba,Casas,null,2,1,1
680000,69022280,Manaus,Tarumã,Rua Caravelle,Casas,161m²,3,4,4
null,69088240,Manaus,Jorge Teixeira,Avenida Itaúba,Casas,12m²,2,1,1
160000,69057030,Manaus,Adrianópolis,Rua Belém,Apartamentos,35m²,1,1,1
340000,69038050,Manaus,Lírio do Vale,Rua Cloritta,Casas,75m²,2,2,1
280000,69058690,Manaus,Flores,Rua Visconde de Caeté,Casas,88m²,2,4,1
150000,69058830,Manaus,Flores,Avenida Torquato Tapajós,Apartamentos,65m²,2,1,1
380000,69050030,Manaus,Parque 10 de Novembro,Avenida Mário Ypiranga - de 2386/2387 ao fim,Apartamentos,150m²,3,1,2
50000,null,null,null,null,Casas,null,4,0,2
1500000,69037057,Manaus,Ponta Negra,Alameda Alaska,Apartamentos,304m²,3,3,3
1200000,69058400,Manaus,Flores,Rua Monte Gerizim,Casas,280m²,4,2,4
400000,69098306,Manaus,Novo Aleixo,Rua Dona Carlota Vera Cruz,Casas,200m²,4,2,2
950000,69037901,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,134m²,3,2,4
365000,69098032,Manaus,Novo Aleixo,Rua Capibaribe,Casas,89m²,2,2,2
280000,69082230,Manaus,Coroado,null,Apartamentos,55m²,2,1,1
398690,69037204,Manaus,Ponta Negra,Avenida Transversal Fernando Cruz,Apartamentos,63m²,2,1,1
2000000,69060085,Manaus,Aleixo,Avenida Via Láctea,Apartamentos,270m²,5 ou mais,4,5 ou mais
400000,69058030,Manaus,Flores,Avenida Professor Nilton Lins,Casas,86m²,3,2,2
350010,69043040,Manaus,Alvorada,Avenida Professora Maria T. Monteiro,Casas,100m²,3,5 ou mais,1
1000000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,230m²,4,4,5 ou mais
200000,69082305,Manaus,Coroado,Rua Walcimar José de Souza,Casas,120m²,3,3,3
745000,69083015,Manaus,Aleixo,Rua Waldemar Jardim Maués,Casas,100m²,1,2,2
1600000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,260m²,4,4,5 ou mais
250000,69028331,Manaus,Flores,Rua Franz Schubert,Casas,85m²,3,2,2
329000,69037473,Manaus,Nova Esperança,Avenida Coronel Teixeira,Apartamentos,56m²,3,2,2
390000,69028143,Manaus,Flores,Rua Tucuruí,Casas,200m²,4,3,3
750000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,117m²,3,2,2
10000,69087689,Manaus,Tancredo Neves,Rua Cachoeira da Prata,Casas,null,1,null,null
1600110,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,280m²,4,4,5 ou mais
950007,69041010,Manaus,Tarumã,Avenida do Turismo,Casas,160m²,3,4,5 ou mais
168000,69096000,Manaus,Cidade Nova,Avenida Noel Nutels - de 2401/2402 a 3215/3216,Apartamentos,58m²,3,1,1
470000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,84m²,3,1,1
249999,69028250,Manaus,Flores,Rua Bélgica,Casas,90m²,3,2,1
770000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,117m²,3,2,3
300000,69063393,Manaus,Petrópolis,Avenida Marques da Silveira,Casas,92m²,3,1,3
351150,69037107,Manaus,Ponta Negra,Rua Thales Loureiro,Apartamentos,60m²,3,2,2
68500,69053110,Manaus,Nossa Senhora das Graças,Rua Rio Javari,Apartamentos,null,2,1,1
360000,69090002,Manaus,Cidade Nova,Avenida Max Teixeira - de 3039/3040 ao fim,Apartamentos,80m²,2,1,2
2500000,69037057,Manaus,Ponta Negra,Alameda Alaska,Apartamentos,270m²,4,4,5 ou mais
560000,69057040,Manaus,Adrianópolis,Rua Salvador,Apartamentos,67m²,2,2,2
15000,69095230,Manaus,Cidade Nova,Rua Cajarana,Casas,60m²,2,null,2
60000,69018660,Manaus,Lago Azul,Rua Macacaúba (Res V Melhor - 2ª Etapa),Apartamentos,42m²,2,1,1
380000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,62m²,2,1,2
270000,69058030,Manaus,Flores,Avenida Professor Nilton Lins,Apartamentos,65m²,2,1,2
100000,69092410,Manaus,Nova Cidade,Rua Monte Albert,Casas,100m²,2,1,2
370000,69036800,Manaus,Santo Agostinho,Condomínio Vila Verde,Casas,120m²,2,2,3
null,69040040,Manaus,Dom Pedro I,null,Apartamentos,102m²,3,2,3
950000,69027034,Manaus,São Raimundo,Rua Rio Branco,Apartamentos,546m²,3,1,3
1390000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,314m²,4,4,5 ou mais
140000,69018150,Manaus,Lago Azul,Avenida Comendador José Cruz,Apartamentos,44m²,2,1,1
600000,69020031,Manaus,Centro,Avenida Joaquim Nabuco - de 1511/1512 ao fim,Apartamentos,76m²,2,3,2
170000,69037552,Manaus,Nova Esperança,Rua Campo do Castanhal,Casas,120m²,3,2,2
280000,69082828,Manaus,Coroado,Rua Sanhaçu,Casas,null,2,5 ou mais,2
370000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,79m²,3,1,2
2700000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Casas,1600m²,5 ou mais,5 ou mais,5 ou mais
530000,69022200,Manaus,Tarumã,Residencial Tarumã,Casas,300m²,3,4,3
315000,69022155,Manaus,Tarumã,Avenida do Cetur,Casas,120m²,2,2,3
550000,null,null,null,null,Casas,105m²,3,2,3
485000,69044022,Manaus,Planalto,Rua Croto,Casas,300m²,3,4,3
230050,69044170,Manaus,Planalto,Rua João de Souza Catunda,Apartamentos,50m²,2,1,1
450000,69063120,Manaus,São Francisco,Rua Pimenta Bueno,Casas,250m²,3,3,3
790000,69050430,Manaus,Parque 10 de Novembro,Alameda Dona Júlia Martins,Casas,275m²,3,5 ou mais,4
1250000,69037900,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,149m²,3,2,2
730000,69053110,Manaus,Nossa Senhora das Graças,Rua Rio Javari,Apartamentos,150m²,4,2,4
135000,69041363,Manaus,Tarumã,Rua Praia de Canoa Quebrada,Apartamentos,42m²,2,1,1
230000,69048340,Manaus,Alvorada,Rua Professora Cacilda Pedroso,Apartamentos,46m²,2,1,1
850000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,149m²,3,2,2
420000,69010425,Manaus,Nossa Senhora Aparecida,Avenida Ramos Ferreira,Apartamentos,107m²,3,1,3
255000,69058231,Manaus,Flores,Rua Barão do Açú,Casas,81m²,3,2,1
780000,69053100,Manaus,Nossa Senhora das Graças,Rua Rio Iça,Apartamentos,132m²,3,2,3
350000,69043040,Manaus,Alvorada,Avenida Professora Maria T. Monteiro,Casas,100m²,3,5 ou mais,1
322990,69044372,Manaus,Planalto,Travessa Amsterdam,Apartamentos,59m²,2,1,2
420000,69010160,Manaus,Centro,Avenida Constantino Nery - até 1106/1107,Apartamentos,80m²,3,2,2
900000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,155m²,3,4,4
350000,69041400,Manaus,Tarumã,Avenida Praia do Futuro,Casas,250m²,2,5 ou mais,2
60000,69030009,Manaus,Compensa,null,Casas,40m²,1,0,1
380000,69040270,Manaus,Dom Pedro I,Avenida Jacira Reis - de 1/2 ao fim,Casas,90m²,3,2,2
480000,69083310,Manaus,Aleixo,Rua das Rosas,Apartamentos,150m²,3,2,3
280000,69042224,Manaus,Alvorada,Rua São Carlos,Casas,80m²,2,2,1
0,69018463,Manaus,Lago Azul,Travessa 14,Casas,null,2,null,1
1450000,69060094,Manaus,Aleixo,Rua Estrela Sírius,Apartamentos,240m²,4,4,5 ou mais
260005,null,null,null,null,Casas,69m²,3,3,2
380000,69040270,Manaus,Dom Pedro I,Avenida Jacira Reis - de 1/2 ao fim,Casas,90m²,3,2,2
55000,69093115,Manaus,Monte das Oliveiras,Avenida Preciosa - até 959/960,Casas,150m²,2,1,2
970030,69037061,Manaus,Ponta Negra,Alameda Zaire,Apartamentos,141m²,3,2,3
800000,69040082,Manaus,Dom Pedro I,Rua Parque dos Franceses,Casas,157m²,3,2,2
500000,69037063,Manaus,Ponta Negra,Alameda Albânia,Apartamentos,94m²,3,2,2
380000,69054060,Manaus,Parque 10 de Novembro,Rua 5,Casas,100m²,3,3,2
900000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,242m²,4,4,1
