,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
2797,3200000.0,Aleixo,Centro-Sul,Casas,400.0,3.0,5.0,4.0
2808,360000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,60.0,2.0,1.0,2.0
2824,470000.0,Cidade Nova,Norte,Casas,230.0,3.0,4.0,2.0
2834,380000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,150.0,3.0,1.0,2.0
2844,810000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,145.0,4.0,4.0,3.0
2854,150000.0,Coroado,Leste,Casas,100.0,4.0,1.0,1.0
2866,900000.0,Aleixo,Centro-Sul,Casas,250.0,3.0,3.0,4.0
2876,2700000.0,Cidade Nova,Norte,Casas,130.0,3.0,2.0,3.0
2887,300000.0,Cidade Nova,Norte,Casas,90.0,2.0,3.0,2.0
2902,750000.0,Colônia Terra Nova,Norte,Casas,220.0,3.0,3.0,4.0
2914,255000.0,Colônia Santo Antônio,Norte,Apartamentos,68.0,3.0,1.0,2.0
2928,831005.0,Tarumã,Oeste,Casas,175.0,3.0,4.0,3.0
2940,1250000.0,São Jorge,Oeste,Apartamentos,179.0,4.0,4.0,5.0
2952,979419.0,Ponta Negra,Oeste,Apartamentos,141.0,3.0,2.0,5.0
2962,210005.0,Cidade Nova,Norte,Casas,160.0,2.0,5.0,3.0
2976,900000.0,Colônia Terra Nova,Norte,Casas,242.0,4.0,4.0,1.0
2988,6200000.0,Parque 10 de Novembro,Centro-Sul,Casas,550.0,4.0,5.0,5.0
2999,1150000.0,Ponta Negra,Oeste,Casas,18197.0,3.0,4.0,4.0
3013,135000.0,Lago Azul,Norte,Apartamentos,42.0,1.0,1.0,1.0
3028,1900000.0,Flores,Centro-Sul,Casas,420.0,1.0,2.0,3.0
3041,270003.0,Cidade Nova,Norte,Casas,78.0,3.0,2.0,2.0
3054,300000.0,Planalto,Centro-Oeste,Casas,250.0,2.0,1.0,1.0
3067,265001.0,Flores,Centro-Sul,Casas,80.0,3.0,2.0,2.0
3077,400000.0,Flores,Centro-Sul,Casas,86.0,3.0,2.0,2.0
3096,150000.0,Jorge Teixeira,Leste,Casas,90.0,2.0,2.0,1.0
3107,310000.0,Redenção,Centro-Oeste,Casas,92.0,3.0,3.0,3.0
3120,350000.0,Cidade Nova,Norte,Apartamentos,84.0,2.0,1.0,2.0
3133,2600000.0,Tarumã,Oeste,Casas,510.0,5.0,5.0,5.0
3143,4500000.0,Adrianópolis,Centro-Sul,Casas,593.0,4.0,4.0,5.0
3153,700000.0,Japiim,Sul,Casas,200.0,5.0,5.0,5.0
3162,430000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,90.0,3.0,1.0,2.0
3173,1639000.0,Ponta Negra,Oeste,Casas,346.0,3.0,4.0,3.0
3183,180000.0,Flores,Centro-Sul,Casas,350.0,3.0,3.0,2.0
3196,2948929.0,Adrianópolis,Centro-Sul,Apartamentos,367.0,5.0,4.0,5.0
3208,480000.0,Dom Pedro I,Centro-Oeste,Casas,180.0,3.0,2.0,2.0
3221,850000.0,Ponta Negra,Oeste,Casas,150.0,3.0,4.0,4.0
3231,250000.0,Parque 10 de Novembro,Centro-Sul,Casas,300.0,3.0,3.0,3.0
3242,330000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,65.0,2.0,1.0,2.0
3253,220000.0,Novo Aleixo,Norte,Casas,60.0,2.0,1.0,2.0
3262,150000.0,Tarumã-Açu,Oeste,Apartamentos,42.0,2.0,1.0,1.0
3277,900000.0,Ponta Negra,Oeste,Casas,190.0,3.0,4.0,4.0
3290,460000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,109.0,3.0,1.0,3.0
3301,180500.0,Novo Israel,Norte,Apartamentos,41.0,2.0,1.0,1.0
3311,380000.0,Novo Aleixo,Norte,Casas,101.0,3.0,3.0,1.0
3321,345000.0,Cidade Nova,Norte,Casas,179.0,3.0,3.0,3.0
3332,1200000.0,Flores,Centro-Sul,Casas,313.0,4.0,4.0,5.0
3342,912720.0,Dom Pedro I,Centro-Oeste,Apartamentos,133.0,4.0,2.0,5.0
3354,370000.0,Ponta Negra,Oeste,Apartamentos,82.0,3.0,1.0,1.0
3364,1991000.0,Ponta Negra,Oeste,Casas,304.0,4.0,4.0,5.0
3375,175000.0,Petrópolis,Sul,Apartamentos,75.0,2.0,1.0,2.0
3385,2600000.0,Ponta Negra,Oeste,Casas,420.0,5.0,4.0,5.0
3397,600000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,60.0,2.0,2.0,1.0
3409,1300000.0,Flores,Centro-Sul,Casas,200.0,3.0,4.0,4.0
3421,300000.0,Alvorada,Centro-Oeste,Casas,300.0,3.0,4.0,2.0
3433,250000.0,Colônia Santo Antônio,Norte,Apartamentos,69.0,3.0,1.0,1.0
3442,2300000.0,Ponta Negra,Oeste,Casas,395.0,4.0,5.0,5.0
3451,145000.0,Cidade Nova,Norte,Casas,69.0,2.0,1.0,1.0
3460,732480.0,Parque 10 de Novembro,Centro-Sul,Casas,181.0,4.0,5.0,4.0
3473,240000.0,Aleixo,Centro-Sul,Apartamentos,44.0,2.0,1.0,2.0
3485,244001.0,Lírio do Vale,Oeste,Casas,81.0,3.0,2.0,1.0
3494,60000.0,São José Operário,Leste,Casas,36.0,1.0,1.0,1.0
3506,698000.0,Ponta Negra,Oeste,Casas,150.0,3.0,4.0,3.0
3516,1300000.0,Aleixo,Centro-Sul,Apartamentos,134.0,3.0,2.0,4.0
3526,8000000.0,Adrianópolis,Centro-Sul,Apartamentos,530.0,5.0,4.0,5.0
3537,390000.0,Cidade Nova,Norte,Casas,150.0,3.0,2.0,1.0
3551,800000.0,Ponta Negra,Oeste,Casas,250.0,3.0,4.0,4.0
3560,847000.0,São Jorge,Oeste,Apartamentos,133.0,3.0,2.0,3.0
3573,400000.0,Flores,Centro-Sul,Casas,999.0,3.0,2.0,2.0
3586,310000.0,Ponta Negra,Oeste,Apartamentos,58.0,2.0,1.0,1.0
3595,160000.0,Santa Etelvina,Norte,Apartamentos,41.0,2.0,1.0,1.0
3609,1390000.0,Centro,Sul,Casas,825.0,5.0,5.0,4.0
3621,265111.0,Cidade Nova,Norte,Casas,75.0,3.0,2.0,2.0
3631,248007.0,Planalto,Centro-Oeste,Apartamentos,52.0,2.0,1.0,2.0
3642,265004.0,Flores,Centro-Sul,Casas,85.0,3.0,2.0,2.0
3653,300010.0,Nova Esperança,Oeste,Apartamentos,56.0,3.0,1.0,2.0
3668,125000.0,Lírio do Vale,Oeste,Apartamentos,79.0,2.0,0.0,1.0
3678,250000.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
3688,45000.0,Lago Azul,Norte,Apartamentos,44.0,2.0,1.0,1.0
3698,900000.0,Aleixo,Centro-Sul,Apartamentos,155.0,3.0,2.0,5.0
3709,800000.0,Ponta Negra,Oeste,Apartamentos,132.0,3.0,2.0,5.0
3719,990000.0,Tarumã,Oeste,Casas,162.0,3.0,2.0,4.0
3731,650000.0,Ponta Negra,Oeste,Casas,360.0,3.0,4.0,3.0
3741,350000.0,Flores,Centro-Sul,Casas,180.0,3.0,1.0,2.0
3750,980000.0,Ponta Negra,Oeste,Casas,637.0,4.0,4.0,3.0
3759,440000.0,Aleixo,Centro-Sul,Apartamentos,152.0,3.0,2.0,2.0
3770,600000.0,Planalto,Centro-Oeste,Casas,370.0,4.0,4.0,3.0
3781,295000.0,Coroado,Leste,Casas,169.0,4.0,2.0,1.0
3791,360000.0,Flores,Centro-Sul,Casas,98.0,3.0,2.0,2.0
3802,280000.0,São Raimundo,Oeste,Casas,280.0,5.0,1.0,3.0
3820,95000.0,Nova Cidade,Norte,Casas,45.0,2.0,2.0,1.0
3832,350000.0,Dom Pedro I,Centro-Oeste,Casas,90.0,2.0,2.0,2.0
