,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
3435,4404,100000.0,Vila da Prata,Oeste,Casas,111.0,2.0,1.0,2.0
3444,4416,1350000.0,Ponta Negra,Oeste,Casas,240.0,3.0,3.0,3.0
3453,4425,249006.0,Dom Pedro I,Centro-Oeste,Casas,122.0,3.0,2.0,2.0
3462,4435,290000.0,Cidade Nova,Norte,Casas,82.0,3.0,3.0,2.0
3471,4447,600131.0,Aleixo,Centro-Sul,Casas,150.0,3.0,2.0,4.0
3480,4459,80000.0,Tarumã,Oeste,Apartamentos,43.0,2.0,1.0,1.0
3489,4470,160000.0,Nova Cidade,Norte,Casas,200.0,3.0,1.0,1.0
3499,4481,1370000.0,Flores,Centro-Sul,Casas,250.0,4.0,4.0,5.0
3508,4491,455000.0,Flores,Centro-Sul,Apartamentos,85.0,3.0,2.0,2.0
3517,4500,40000.0,Ponta Negra,Oeste,Apartamentos,60.0,3.0,2.0,2.0
