,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1412,1801,380000.0,Flores,Centro-Sul,Apartamentos,75.0,3.0,2.0,2.0
1421,1822,424000.0,Dom Pedro I,Centro-Oeste,Apartamentos,64.0,2.0,1.0,2.0
1430,1831,950000.0,Ponta Negra,Oeste,Apartamentos,134.0,3.0,2.0,4.0
1439,1840,700000.0,Colônia Terra Nova,Norte,Casas,170.0,3.0,4.0,3.0
1448,1853,125000.0,Cidade Nova,Norte,Casas,58.0,4.0,2.0,2.0
1457,1862,600000.0,Nossa Senhora das Graças,Centro-Sul,Casas,400.0,5.0,5.0,5.0
1466,1875,5500000.0,Ponta Negra,Oeste,Casas,680.0,5.0,5.0,5.0
1475,1887,880000.0,Dom Pedro I,Centro-Oeste,Casas,300.0,5.0,2.0,5.0
1484,1899,400000.0,Japiim,Sul,Casas,300.0,3.0,3.0,4.0
1494,1912,495000.0,Flores,Centro-Sul,Casas,200.0,3.0,5.0,4.0
1503,1923,319000.0,Dom Pedro I,Centro-Oeste,Apartamentos,56.0,3.0,2.0,2.0
1512,1936,55000.0,Monte das Oliveiras,Norte,Apartamentos,44.0,2.0,1.0,1.0
1521,1949,3500000.0,Ponta Negra,Oeste,Casas,409.0,4.0,2.0,4.0
1530,1960,2200000.0,Ponta Negra,Oeste,Casas,450.0,3.0,5.0,4.0
1539,1972,490000.0,Santo Agostinho,Oeste,Casas,185.0,3.0,3.0,2.0
1548,1982,190000.0,Flores,Centro-Sul,Apartamentos,58.0,2.0,1.0,1.0
1557,1992,750000.0,Ponta Negra,Oeste,Apartamentos,132.0,4.0,2.0,5.0
1566,2003,371001.0,Flores,Centro-Sul,Apartamentos,60.0,2.0,2.0,2.0
1575,2016,490000.0,Tarumã,Oeste,Casas,150.0,3.0,5.0,1.0
1584,2028,390000.0,Flores,Centro-Sul,Casas,70.0,2.0,1.0,2.0
1593,2038,4500020.0,Adrianópolis,Centro-Sul,Casas,500.0,5.0,4.0,5.0
1602,2050,180268.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1611,2061,140000.0,Tarumã,Oeste,Casas,172.0,3.0,1.0,1.0
1620,2073,450000.0,Planalto,Centro-Oeste,Casas,366.0,4.0,4.0,5.0
1629,2084,180358.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1638,2095,320000.0,Ponta Negra,Oeste,Apartamentos,68.0,2.0,1.0,2.0
1647,2105,290010.0,Aleixo,Centro-Sul,Apartamentos,94.0,3.0,2.0,2.0
1656,2116,690000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,131.0,3.0,2.0,5.0
1665,2127,900000.0,Tarumã,Oeste,Casas,170.0,3.0,4.0,4.0
1674,2139,244001.0,Lírio do Vale,Oeste,Casas,81.0,3.0,2.0,1.0
1683,2150,4000000.0,Ponta Negra,Oeste,Casas,1000.0,5.0,5.0,5.0
1692,2161,600000.0,Cidade Nova,Norte,Casas,500.0,5.0,3.0,5.0
1701,2171,270000.0,Parque 10 de Novembro,Centro-Sul,Casas,58.0,2.0,2.0,2.0
1710,2183,410000.0,Petrópolis,Sul,Casas,170.0,3.0,3.0,3.0
1720,2193,630000.0,Aleixo,Centro-Sul,Apartamentos,92.0,3.0,2.0,3.0
1729,2203,590000.0,Flores,Centro-Sul,Casas,142.0,3.0,2.0,1.0
1738,2216,3200000.0,Chapada,Centro-Sul,Casas,370.0,1.0,4.0,5.0
1747,2228,1200001.0,Chapada,Centro-Sul,Casas,280.0,4.0,4.0,5.0
1756,2243,1300000.0,Ponta Negra,Oeste,Casas,275.0,5.0,5.0,5.0
1765,2257,455000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,67.0,2.0,5.0,2.0
1774,2269,160130.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1783,2280,165000.0,Lírio do Vale,Oeste,Apartamentos,200.0,2.0,4.0,2.0
1793,2295,1600000.0,Ponta Negra,Oeste,Casas,350.0,3.0,4.0,2.0
1802,2306,270129.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1811,2316,630000.0,Cidade Nova,Norte,Casas,140.0,3.0,2.0,1.0
1820,2326,1600000.0,Ponta Negra,Oeste,Apartamentos,134.0,3.0,2.0,4.0
1829,2336,180000.0,Nova Cidade,Norte,Casas,130.0,2.0,3.0,2.0
1838,2346,300000.0,Santo Antônio,Oeste,Apartamentos,80.0,2.0,1.0,2.0
1847,2358,244050.0,Lírio do Vale,Oeste,Casas,81.0,3.0,2.0,1.0
1856,2368,370000.0,Flores,Centro-Sul,Apartamentos,83.0,3.0,1.0,2.0
1866,2379,220000.0,Tarumã,Oeste,Apartamentos,56.0,3.0,1.0,1.0
1875,2388,830000.0,Ponta Negra,Oeste,Casas,250.0,3.0,4.0,3.0
1884,2403,620000.0,Ponta Negra,Oeste,Casas,144.0,3.0,2.0,3.0
1893,2413,850000.0,Aleixo,Centro-Sul,Apartamentos,117.0,3.0,2.0,3.0
1902,2422,300000.0,Flores,Centro-Sul,Casas,76.0,2.0,1.0,3.0
1911,2434,1600000.0,Ponta Negra,Oeste,Casas,260.0,4.0,4.0,5.0
1920,2445,480000.0,Ponta Negra,Oeste,Apartamentos,130.0,3.0,2.0,2.0
1929,2454,55000.0,Lago Azul,Norte,Apartamentos,45.0,2.0,1.0,1.0
1938,2468,450000.0,Colônia Santo Antônio,Norte,Apartamentos,85.0,3.0,2.0,2.0
1947,2477,335000.0,Chapada,Centro-Sul,Apartamentos,60.0,2.0,1.0,1.0
1956,2490,1600000.0,Ponta Negra,Oeste,Casas,350.0,3.0,4.0,5.0
1965,2502,330000.0,Aleixo,Centro-Sul,Apartamentos,56.0,2.0,1.0,2.0
1974,2513,1500132.0,Ponta Negra,Oeste,Casas,170.0,3.0,2.0,4.0
1983,2527,155000.0,Alvorada,Centro-Oeste,Casas,126.0,2.0,1.0,1.0
1992,2539,248300.0,Planalto,Centro-Oeste,Apartamentos,51.0,2.0,1.0,2.0
2002,2554,2000000.0,Ponta Negra,Oeste,Casas,600.0,4.0,0.0,5.0
2011,2564,550000.0,Japiim,Sul,Casas,300.0,3.0,4.0,3.0
2020,2574,450000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,2.0,3.0
2029,2587,750000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,165.0,4.0,2.0,4.0
2038,2599,270000.0,Novo Aleixo,Norte,Casas,200.0,3.0,3.0,2.0
2047,2610,265008.0,Cidade Nova,Norte,Casas,78.0,3.0,2.0,2.0
2056,2620,300000.0,Petrópolis,Sul,Casas,92.0,3.0,1.0,3.0
2065,2630,1900000.0,Ponta Negra,Oeste,Casas,700.0,5.0,4.0,5.0
2074,2643,3500000.0,Aleixo,Centro-Sul,Casas,450.0,3.0,4.0,5.0
2083,2659,1550021.0,Ponta Negra,Oeste,Casas,246.0,4.0,4.0,5.0
2092,2673,280000.0,Flores,Centro-Sul,Casas,450.0,3.0,4.0,1.0
2101,2686,80000.0,Nova Cidade,Norte,Casas,180.0,2.0,2.0,2.0
2110,2697,100000.0,Cidade Nova,Norte,Casas,350.0,3.0,3.0,2.0
2119,2707,190000.0,Tarumã-Açu,Oeste,Apartamentos,53.0,3.0,1.0,1.0
2128,2720,1000000.0,Ponta Negra,Oeste,Casas,153.0,1.0,4.0,3.0
2137,2730,2190000.0,Ponta Negra,Oeste,Apartamentos,169.0,3.0,3.0,4.0
2146,2742,400077.0,Novo Aleixo,Norte,Casas,104.0,3.0,2.0,2.0
2155,2753,610000.0,Ponta Negra,Oeste,Casas,267.0,3.0,4.0,2.0
2164,2766,500000.0,Santo Agostinho,Oeste,Apartamentos,85.0,3.0,1.0,3.0
2173,2776,417000.0,Novo Aleixo,Norte,Casas,384.0,5.0,5.0,3.0
2182,2786,499999.0,Cidade Nova,Norte,Casas,270.0,4.0,3.0,2.0
2191,2798,520000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,63.0,1.0,0.0,2.0
2200,2809,859999.0,Tarumã,Oeste,Casas,180.0,3.0,4.0,5.0
2209,2826,120000.0,Jorge Teixeira,Leste,Casas,70.0,3.0,2.0,2.0
2218,2835,430000.0,Dom Pedro I,Centro-Oeste,Apartamentos,56.0,1.0,1.0,1.0
2227,2845,730000.0,Aleixo,Centro-Sul,Apartamentos,106.0,3.0,2.0,3.0
