valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
462531,69058030,Manaus,Flores,Avenida Professor Nilton Lins,Apartamentos,85,3,2,3
230000,69037090,Manaus,Ponta Negra,Alameda Antônio Gomide,Casas,297,3,2,2
600000,69053000,Manaus,Nossa Senhora das Graças,Avenida Djalma Batista - até 1596 - lado par,Apartamentos,70,2,1,1
1500000,69037155,Manaus,Ponta Negra,Rua Mediterrâneo,Casas,298,4,4,4
430056,69097000,Manaus,Cidade Nova,Rua Padre João Ribeiro,Casas,90,3,2,2
160000,69092410,Manaus,Nova Cidade,Rua Monte Albert,Casas,130,2,5,3
350000,69048010,Manaus,Da Paz,Avenida Torquato Tapajós,Apartamentos,80,3,1,2
450000,69037147,Manaus,Ponta Negra,Bosque das Palmas,Casas,120,3,2,3
135000,69018150,Manaus,Lago Azul,Avenida Comendador José Cruz,Apartamentos,44,2,1,1
160000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Apartamentos,41,2,1,1
350000,69054595,Manaus,Parque 10 de Novembro,Rua José Bonaparte,Apartamentos,90,3,1,2
990000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,180,3,4,4
225000,69049072,Manaus,Da Paz,Rua Jorge Luiz Milani,Apartamentos,42,2,1,1
460000,69055705,Manaus,Parque 10 de Novembro,Rua Professor Samuel Benchimol,Apartamentos,82,2,2,2
1200000,69057001,Manaus,Adrianópolis,Avenida Mário Ypiranga - de 438/439 a 1085/1086,Apartamentos,140,3,2,3
400000,69054500,Manaus,Parque 10 de Novembro,Rua Dom Sebastião,Casas,350,3,3,3
1350000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,652,4,5,5
450000,69054672,Manaus,Parque 10 de Novembro,Rua Misushiro,Apartamentos,115,3,2,2
440000,69028391,Manaus,Flores,Rua Jurupary,Casas,169,3,4,4
849999,69093900,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,175,3,4,5
650000,69058090,Manaus,Flores,Rua Visconde de Porto Seguro - até 99999 - lado ímpar,Apartamentos,127,3,2,3
1300000,69037061,Manaus,Ponta Negra,Alameda Zaire,Apartamentos,153,3,2,5
1500000,69037155,Manaus,Ponta Negra,Rua Mediterrâneo,Casas,190,3,4,2
2900000,69057002,Manaus,Adrianópolis,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Casas,420,4,4,5
1500000,69037010,Manaus,Ponta Negra,Alameda Alemanha,Casas,245,3,2,4
3800000,69057002,Manaus,Adrianópolis,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Casas,742,4,4,5
620000,69054000,Manaus,Parque 10 de Novembro,Rua Dom João VI,Casas,150,3,2,4
300000,69044650,Manaus,Planalto,Rua Elias Guedes da Silva,Casas,400,2,4,2
95000,69097760,Manaus,Cidade Nova,Avenida Itaberaba,Casas,55,3,2,1
560000,69055705,Manaus,Parque 10 de Novembro,Rua Professor Samuel Benchimol,Apartamentos,82,2,2,2
249003,69040070,Manaus,Dom Pedro I,Rua Bartolomeu B da Silva,Casas,122,3,2,1
160000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,88,2,2,3
180000,69017000,Manaus,Nova Cidade,Avenida Ruy Adriano de Araújo Jorge,Casas,90,2,2,3
360001,69058575,Manaus,Novo Aleixo,null,Casas,104,3,2,1
180000,69023003,Manaus,Tarumã-Açu,Avenida Torquato Tapajós,Apartamentos,46,3,1,1
115000,69095000,Manaus,Cidade Nova,Avenida Noel Nutels - de 851/852 a 2399/2400,Casas,35,1,3,1
650000,69040901,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,101,3,2,3
902000,69041700,Manaus,Tarumã,Rua Hilário Maldonado JR,Casas,170,3,5,3
180000,69086080,Manaus,São José Operário,Rua Ananás,Apartamentos,55,2,1,1
440000,69054700,Manaus,Parque 10 de Novembro,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Apartamentos,100,3,3,2
260004,69090000,Manaus,Cidade Nova,Avenida Noel Nutels - até 849/850,Casas,69,3,3,2
850000,69049063,Manaus,Da Paz,null,Casas,202,3,3,4
800000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,132,3,3,4
160119,69058000,Manaus,Flores,Conjunto Anavilhanas,Casas,70,2,2,2
190002,69084000,Manaus,Zumbi dos Palmares,Rua Rio Badajós,Apartamentos,44,2,1,1
null,69023090,Manaus,Tarumã-Açu,Travessa Currupião,Casas,null,2,1,1
180132,69098000,Manaus,Novo Aleixo,Rua Cariré,Casas,70,2,2,2
1200000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Casas,588,5,5,5
296888,69037473,Manaus,Nova Esperança,Avenida Coronel Teixeira,Apartamentos,55,3,null,2
null,69099000,Manaus,Novo Aleixo,Rua Itaeté,Apartamentos,null,2,null,2
300000,69038050,Manaus,Lírio do Vale,Rua Cloritta,Casas,75,2,1,2
330000,69028200,Manaus,Flores,Rua Monte Mulanje - até 207/208,Casas,80,2,2,2
370000,69060700,Manaus,Aleixo,Rua Vicente Lauria,Apartamentos,76,3,1,2
450000,69049640,Manaus,Redenção,Rua 1,Casas,250,4,4,3
280000,69082230,Manaus,Coroado,null,Apartamentos,55,2,1,1
490000,69054700,Manaus,Parque 10 de Novembro,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Apartamentos,80,3,2,2
2600000,69037107,Manaus,Ponta Negra,Rua Thales Loureiro,Casas,335,4,4,5
130000,69036350,Manaus,Compensa,Rua Evaristo da Veiga,Casas,104,2,null,1
850000,69055000,Manaus,Parque 10 de Novembro,Rua do Comércio,Apartamentos,119,3,2,5
150000,69029000,Manaus,Santo Antônio,Rua Alexandre Dumas,Casas,null,4,null,1
348101,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,66,2,1,2
600020,69028010,Manaus,Flores,Rua Venezuela,Casas,120,3,2,2
220000,69085288,Manaus,São José Operário,Rua José Romão,Apartamentos,51,2,1,1
550000,69045090,Manaus,Planalto,Rua Paris,Casas,200,3,4,2
60000,69030009,Manaus,Compensa,null,Casas,40,1,0,1
6500000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Casas,670,5,4,5
425000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,64,2,1,2
800000,null,null,null,null,Casas,181,3,4,4
1300000,69054712,Manaus,Parque 10 de Novembro,Rua Lindon Johnson,Apartamentos,300,3,4,5
1400000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,260,4,4,5
1100001,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,171,4,2,3
649999,null,null,null,null,Casas,140,3,2,2
0,69090640,Manaus,Cidade Nova,Rua Delmiro Leão,Casas,5,1,1,1
1350000,69037057,Manaus,Ponta Negra,Alameda Alaska,Apartamentos,305,4,3,4
172855,69058830,Manaus,Flores,Avenida Torquato Tapajós,Apartamentos,41,2,1,1
50000,69088446,Manaus,Jorge Teixeira,Rua Anador,Casas,0,2,null,1
370000,69054650,Manaus,Parque 10 de Novembro,Rua dos Japoneses,Casas,90,3,2,2
2500000,69037107,Manaus,Ponta Negra,Rua Thales Loureiro,Casas,380,4,null,5
387000,69020031,Manaus,Centro,null,Apartamentos,54,1,1,2
2880000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,464,4,5,5
265003,69090000,Manaus,Cidade Nova,Avenida Noel Nutels - até 849/850,Casas,86,3,2,2
620358,69054000,Manaus,Parque 10 de Novembro,Rua Dom João VI,Casas,150,3,2,4
750000,69057010,Manaus,Adrianópolis,Rua Maceió,Apartamentos,130,3,2,5
2750000,69050001,Manaus,Chapada,Avenida Constantino Nery - de 2600/2601 a 4500/4501,Casas,400,3,2,5
1300000,69037061,Manaus,Ponta Negra,Alameda Zaire,Apartamentos,169,3,3,4
1300000,69058448,Manaus,Flores,Rua Barão de Indaiá,Casas,215,1,3,4
330052,null,null,null,null,Apartamentos,76,3,3,2
600000,69037478,Manaus,Nova Esperança,Avenida Jufari,Apartamentos,112,3,2,2
220162,69098000,Manaus,Novo Aleixo,Rua Cariré,Casas,70,2,2,2
850000,69040210,Manaus,Dom Pedro I,Rua Washington Luíz,Casas,400,5,4,5
520000,69037067,Manaus,Ponta Negra,Alameda Japão,Apartamentos,94,3,2,2
1300000,69057010,Manaus,Adrianópolis,Rua Maceió,Apartamentos,150,3,3,4
280000,69028360,Manaus,Flores,Rua São Judas Tadeu,Apartamentos,52,2,1,2
60000,69088490,Manaus,Jorge Teixeira,Travessa Manjericão,Casas,null,2,0,1
988030,69037061,Manaus,Ponta Negra,Alameda Zaire,Apartamentos,146,3,2,3
1600000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,600,4,4,4
850000,69005000,Manaus,Centro,Rua Marechal Deodoro,Casas,200,5,null,3
50000,69095000,Manaus,Cidade Nova,Avenida Noel Nutels - de 851/852 a 2399/2400,Apartamentos,42,2,1,1
800052,69037005,Manaus,Ponta Negra,Avenida do Turismo,Casas,190,3,4,5
170000,69023003,Manaus,Tarumã-Açu,Avenida Torquato Tapajós,Apartamentos,49,3,1,1
300000,69054250,Manaus,Parque 10 de Novembro,Rua Inês Mezzano (Cj Jd Primavera),Casas,350,4,3,3
1100000,69057002,Manaus,Adrianópolis,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Apartamentos,132,3,2,5
200000,69045000,Manaus,Planalto,Avenida Constantinopla,Casas,300,3,3,2
695000,69036800,Manaus,Santo Agostinho,Condomínio Vila Verde,Casas,250,3,1,3
650010,69053971,Manaus,Nossa Senhora das Graças,Avenida João Valério,Casas,250,3,2,2
798000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,250,3,4,4
1990000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,179,3,4,5
190000,69098164,Manaus,Novo Aleixo,Rua Itaguacetuba,Casas,70,2,2,2
0,69017128,Manaus,Monte das Oliveiras,Rua Mangueiras,Casas,504,5,4,3
9500,69028200,Manaus,Flores,Rua Monte Mulanje - até 207/208,Apartamentos,42,2,1,2
730000,69050310,Manaus,Parque 10 de Novembro,Rua Amauri Reis,Apartamentos,108,2,2,2
1300000,69083120,Manaus,Aleixo,Rua Nelson Batista de Sales,Casas,240,4,4,5
220000,69060040,Manaus,Aleixo,Rua Castro Alves,Apartamentos,61,2,1,2
1276800,69055021,Manaus,Parque 10 de Novembro,Avenida Maneca Marques,Apartamentos,140,3,2,3
950000,69055752,Manaus,Parque 10 de Novembro,Rua José Mariano,Apartamentos,444,5,4,5
190000,69045000,Manaus,Planalto,Avenida Constantinopla,Apartamentos,70,2,1,1
600000,69020031,Manaus,Centro,Avenida Joaquim Nabuco - de 1511/1512 ao fim,Casas,17947,3,1,2
380000,69058120,Manaus,Flores,Avenida Tancredo Neves - de 861 a 1077 - lado ímpar,Apartamentos,120,3,2,2
300000,69077150,Manaus,Japiim,Rua Emile Zolá,Casas,null,3,null,null
230000,69028110,Manaus,Flores,Rua Estados Unidos,Casas,200,2,2,2
250000,69086270,Manaus,São José Operário,Rua 26,Casas,null,5,5,5
72,69095814,Manaus,Cidade Nova,Travessa Hidrolina,Casas,null,2,1,1
135000,69050000,Manaus,São Geraldo,Avenida Constantino Nery - de 1108/1109 a 2598/2599,Apartamentos,34,1,1,1
1731580,69033000,Manaus,São Jorge,Avenida São Jorge - até 773/774,Apartamentos,235,4,4,5
900000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,160,3,4,4
1400000,69037225,Manaus,Ponta Negra,Avenida José Augusto Loureiro,Casas,220,3,4,5
160000,69036000,Manaus,Compensa,Rua Abraão Cardoso,Casas,null,4,3,null
180000,69018150,Manaus,Lago Azul,Avenida Comendador José Cruz,Apartamentos,60,3,1,2
187131,69098449,Manaus,Novo Aleixo,Rua Heisei,Apartamentos,50,3,1,1
400000,69099266,Manaus,Cidade de Deus,Rua Macatuba,Casas,250,2,5,2
270000,69041010,Manaus,Tarumã,Avenida do Turismo,Casas,45,2,2,1
null,69009045,Manaus,Puraquequara,Rua Nova Esperança,Casas,null,2,1,2
760000,69053100,Manaus,Nossa Senhora das Graças,Rua Rio Iça,Apartamentos,132,3,2,3
1200000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Apartamentos,155,3,3,4
220158,69098000,Manaus,Novo Aleixo,Rua Cariré,Casas,80,2,2,2
230000,69050110,Manaus,Chapada,Conjunto Tocantins,Apartamentos,60,2,1,1
570000,69058282,Manaus,Flores,Rua Barão dos Cocais,Apartamentos,90,3,2,2
275000,69098380,Manaus,Novo Aleixo,Rua Catalão,Apartamentos,65,2,1,2
630000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,null,3,2,3
159000,69085150,Manaus,São José Operário,Rua Otávio Freire,Casas,300,3,2,1
1800000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,428,3,5,5
110000,69027270,Manaus,São Raimundo,Rua da Cachoeira,Apartamentos,48,2,5,1
1300000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,198,3,4,5
380000,69055180,Manaus,Parque 10 de Novembro,Rua dos Banibas,Apartamentos,78,3,1,2
280000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Apartamentos,74,3,2,2
1850000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,800,4,5,5
40000,69088312,Manaus,Jorge Teixeira,Beco Paribaroba,Casas,null,2,null,1
780000,null,null,null,null,Casas,200,3,3,3
120000,69058780,Manaus,Flores,Rua Visconde de Santa Cruz,Casas,96,2,1,1
2365000,69029520,Manaus,Santo Antônio,Rua Miroel Silveira,Apartamentos,215,4,3,5
400000,69058160,Manaus,Flores,Conjunto São Judas Tadeu,Casas,90,3,2,2
232790,69037005,Manaus,Ponta Negra,Avenida do Turismo,Apartamentos,46,2,1,1
290000,69093000,Manaus,Colônia Santo Antônio,Avenida Francisco Queiroz - até 1429 - lado ímpar,Casas,81,2,2,3
430000,69057015,Manaus,Adrianópolis,Avenida Jornalista Umberto Calderaro Filho - até 99997/99998,Apartamentos,140,3,1,1
720000,69093415,Manaus,Colônia Terra Nova,Avenida Torquato Tapajós,Casas,171,3,4,5
