valor,cep,cidade,bairro,zona,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
2800000,69057300,Manaus,Adrianópolis,Centro-Sul,Rua Bento Maciel,Casas,null,4,4,5
1390000,69037107,Manaus,Ponta Negra,Oeste,Rua Thales Loureiro,Casas,246,4,4,5
650000,69058585,Manaus,Novo Aleixo,Norte,Rua Mendonça Lima,Casas,140,3,2,1
40000,69093132,Manaus,Monte das Oliveiras,Norte,Avenida Samaúma,Casas,0,2,0,1
745000,69083180,Manaus,Aleixo,Centro-Sul,Avenida das Flores,Casas,198,4,5,5
2700000,69037057,Manaus,Ponta Negra,Oeste,Alameda Alaska,Apartamentos,240,4,4,5
230000,69098052,Manaus,Novo Aleixo,Norte,Rua Jaciara,Casas,64,2,2,2
219000,69022400,Manaus,Tarumã-Açu,Oeste,Rua do Pacoti,Casas,52,2,2,2
55000,69088149,Manaus,Jorge Teixeira,Leste,Rua Casca Preciosa,Casas,null,2,1,1
700000,69039125,Manaus,Novo Israel,Norte,Avenida Torquato Tapajós,Casas,170,4,4,1
8600,69015600,Manaus,Colônia Terra Nova,Norte,Rua Maria Fernandes,Apartamentos,null,1,null,1
112000,69082816,Manaus,Coroado,Leste,Rua Fausto Ventura Conceição,Casas,null,1,1,1
850000,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,165,3,4,3
241000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,50,2,1,2
155002,69028230,Manaus,Flores,Centro-Sul,Rua Argentina,Casas,50,2,1,1
265007,69028000,Manaus,Flores,Centro-Sul,Rua Espanha,Casas,85,3,2,2
2000000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,402,4,5,5
550000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,67,2,1,2
700018,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,170,3,2,4
1250000,69037061,Manaus,Ponta Negra,Oeste,Alameda Zaire,Apartamentos,169,4,3,4
1439000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,169,4,3,5
750001,null,null,null,null,null,Apartamentos,150,4,2,3
380000,69083060,Manaus,Aleixo,Centro-Sul,Rua Francisco Arruda,Casas,120,3,2,2
850000,69083180,Manaus,Aleixo,Centro-Sul,Avenida das Flores,Casas,600,4,1,2
415000,69029440,Manaus,Santo Antônio,Oeste,Rua Sabato Magaldi,Casas,226,5,3,5
475000,69058030,Manaus,Flores,Centro-Sul,Avenida Professor Nilton Lins,Apartamentos,70,2,2,2
244000,69038255,Manaus,Lírio do Vale,Oeste,Rua Parapiranga,Casas,81,3,2,1
160000,69038561,Manaus,Lírio do Vale,Oeste,Rua Ilha Oregon,Apartamentos,41,2,1,1
55000,69093115,Manaus,Monte das Oliveiras,Norte,Avenida Preciosa - até 959/960,Casas,150,2,1,2
150000,69057021,Manaus,Adrianópolis,Centro-Sul,Avenida Paraíba - de 1 ao fim - lado ímpar,Apartamentos,28,1,null,1
3000000,69057080,Manaus,Adrianópolis,Centro-Sul,Rua Fortaleza,Apartamentos,310,3,0,4
250030,69083431,Manaus,Aleixo,Centro-Sul,Rua 12,Apartamentos,74,2,1,2
480000,69054710,Manaus,Parque 10 de Novembro,Centro-Sul,null,Casas,109,3,2,3
530000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,81,2,1,1
1100000,69058448,Manaus,Flores,Centro-Sul,Rua Barão de Indaiá,Casas,228,2,4,4
1540000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,152,3,3,5
150000,69088028,Manaus,Jorge Teixeira,Leste,Rua Cravinho (4ª Etapa),Casas,90,2,null,1
620129,69054000,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Dom João VI,Casas,150,3,2,4
231990,69037207,Manaus,Ponta Negra,Oeste,Rua Narciso Cavalcante de Melo,Apartamentos,47,2,1,1
244206,69055011,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Gabriel Corrêa Pedrosa,Apartamentos,48,2,1,2
75000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Casas,60,2,null,1
300000,69058810,Manaus,Flores,Centro-Sul,Rua Visconde de Utinga,Casas,60,2,2,1
520000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,140,3,4,1
465000,null,null,null,null,null,Apartamentos,58,2,2,2
375000,69036800,Manaus,Santo Agostinho,Oeste,Condomínio Vila Verde,Casas,59,2,2,1
600000,null,null,null,null,null,Apartamentos,67,2,1,2
509900,69030701,Manaus,Vila da Prata,Oeste,Travessa Desembargador Arthur Virgílio,Apartamentos,71,2,1,2
1290002,69053110,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Rio Javari,Apartamentos,190,3,3,4
270000,69068130,Manaus,Raiz,Sul,Rua Ayres de Almeida (Cj C Silva),Apartamentos,100,3,1,2
75000,69015225,Manaus,Colônia Terra Nova,Norte,Rua Janaí,Casas,50,2,1,1
890000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Apartamentos,133,3,2,3
2000000,69049630,Manaus,Da Paz,Centro-Oeste,Rua José Pinto,Casas,452,5,4,4
100000,69042833,Manaus,Alvorada,Centro-Oeste,Rua Leão de Judá,Casas,55,2,1,2
550000,69040490,Manaus,Dom Pedro I,Centro-Oeste,Rua Padre Manuel da Nóbrega (Cj D Pedro I),Casas,300,3,4,4
4500000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,550,5,5,5
390000,69010425,Manaus,Nossa Senhora Aparecida,Sul,Avenida Ramos Ferreira,Apartamentos,102,3,2,2
280000,69023001,Manaus,Tarumã-Açu,Oeste,Avenida do Turismo,Casas,45,2,2,1
790000,null,null,null,null,null,Apartamentos,109,3,2,3
244003,69038490,Manaus,Lírio do Vale,Oeste,Rua Jequié,Casas,88,3,2,2
1600000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,178,4,3,5
580000,69044090,Manaus,Planalto,Centro-Oeste,Rua David José Tadros,Casas,164,2,3,2
778113,69037061,Manaus,Ponta Negra,Oeste,Alameda Zaire,Apartamentos,165,3,null,4
280000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Casas,100,2,5,2
780000,69057065,Manaus,Adrianópolis,Centro-Sul,Avenida Via Láctea,Casas,390,5,4,5
250000,69098145,Manaus,Novo Aleixo,Norte,Avenida Nathan Xavier de Albuquerque - de 805 a 1499 - lado ímpar,Casas,null,2,null,2
2250000,69037225,Manaus,Ponta Negra,Oeste,Avenida José Augusto Loureiro,Casas,360,4,4,5
850000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,180,3,4,4
150000,69048040,Manaus,Flores,Centro-Sul,Conjunto Senador João Bosco Ramos de Lima,Apartamentos,65,2,1,1
600000,null,null,null,null,null,Casas,300,3,4,3
780000,69037057,Manaus,Ponta Negra,Oeste,Alameda Alaska,Apartamentos,127,2,2,3
155003,69028230,Manaus,Flores,Centro-Sul,Rua Argentina,Casas,50,2,2,2
1650000,69037071,Manaus,Ponta Negra,Oeste,Avenida Cecília Meireles,Casas,314,4,4,5
90000,69077350,Manaus,Japiim,Sul,Rua Afrânio de Castro,Casas,null,2,2,1
400000,69098052,Manaus,Novo Aleixo,Norte,Rua Jaciara,Casas,100,3,2,2
680000,69040340,Manaus,Dom Pedro I,Centro-Oeste,Rua Rita G. Barros,Apartamentos,96,3,2,2
3000000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,659,4,4,5
331000,69098404,Manaus,Novo Aleixo,Norte,Rua Agave,Casas,86,3,2,2
5500000,69053020,Manaus,Nossa Senhora das Graças,Centro-Sul,Avenida Rio Jutaí,Casas,2650,4,5,5
450000,69077815,Manaus,Japiim,Sul,Rua Júlia Lopes,Casas,220,5,4,4
1100000,69053575,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Pará,Apartamentos,230,3,3,4
5000000,69053100,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Rio Iça,Casas,1200,3,2,2
500000,69038170,Manaus,Lírio do Vale,Oeste,Rua Santo Sudario,Casas,630,5,2,5
45000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Casas,100,2,2,2
319341,69006265,Manaus,Gilberto Mestrinho,Leste,Rua Bom Jesus,Casas,63,2,null,1
1100000,69083180,Manaus,Aleixo,Centro-Sul,Avenida das Flores,Casas,250,3,4,4
495000,69054050,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Márcio Figueiredo,Apartamentos,74,3,null,2
220129,69098000,Manaus,Novo Aleixo,Norte,Rua Cariré,Casas,70,2,2,2
660000,69030060,Manaus,Compensa,Oeste,Rua Mário Brandão,Apartamentos,180,3,2,1
380000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Casas,90,3,3,2
1499000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,275,4,5,5
30000,69043080,Manaus,Alvorada,Centro-Oeste,Rua Juruti,Casas,60,3,0,1
950000,69060085,Manaus,Aleixo,Centro-Sul,Avenida Via Láctea,Apartamentos,153,3,2,5
280000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Casas,160,1,5,2
660000,69093190,Manaus,Colônia Santo Antônio,Norte,Rua do Sorriso,Casas,200,3,null,3
371002,null,null,null,null,null,Apartamentos,93,3,2,2
45000,69018690,Manaus,Lago Azul,Norte,Rua Junco Verde,Apartamentos,0,2,1,1
1300009,69037061,Manaus,Ponta Negra,Oeste,Alameda Zaire,Apartamentos,150,3,2,5
454000,69058833,Manaus,Flores,Centro-Sul,Rua Dom Jackson D. Rodrigues,Apartamentos,79,3,2,2
520000,69054749,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Waldemir Castelo,Casas,300,3,3,3
315000,69058830,Manaus,Flores,Centro-Sul,Avenida Torquato Tapajós,Apartamentos,161,3,2,3
300099,69045000,Manaus,Planalto,Centro-Oeste,Avenida Constantinopla,Casas,90,3,2,2
800000,69055680,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Angélica Motta,Casas,200,4,3,4
1600000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,255,4,4,5
630000,69058090,Manaus,Flores,Centro-Sul,Rua Visconde de Porto Seguro - até 99999 - lado ímpar,Casas,142,3,2,3
